epoch,acc,loss,val_acc,val_loss
0,0.4136171875,3.9971331622600554,0.3936484375,4.253336447402835
1,0.426578125,3.9126860489845274,0.4000078125,4.078205110341311
2,0.437609375,3.8210741028785704,0.441203125,3.9524241310209036
3,0.4370859375,3.830470766067505,0.4125,4.121032347768545
4,0.435328125,3.8430712540149687,0.425359375,3.9275892514809967
5,0.433296875,3.8396390495300294,0.43134375,3.9542291249036787
6,0.4483203125,3.74567090845108,0.4684921875,3.582315831720829
7,0.4613359375,3.656275593042374,0.4643203125,3.6161143069788815
8,0.4756171875,3.5653220665454866,0.4427734375,3.9771083009243013
9,0.4665625,3.616172870397568,0.4181875,4.356881975531578
10,0.48253125,3.5058756585121156,0.4508515625,3.7362546028941868
11,0.488796875,3.4585804462432863,0.5168515625,3.289779899857938
12,0.4863125,3.4723578476905823,0.489328125,3.524682961255312
13,0.48353125,3.4884246094226836,0.4323125,3.8762227164059877
14,0.447671875,3.7357356197834015,0.447875,3.7898058512210846
15,0.4674921875,3.596776194095612,0.4108203125,4.239812092721462
16,0.474890625,3.553166289329529,0.3760703125,4.929053607195616
17,0.49209375,3.4196011996269227,0.45390625,3.8301940664052965
18,0.49184375,3.4186253635883332,0.35621875,4.775792318046093
19,0.4719609375,3.559704853773117,0.4649296875,3.6497221798598765
20,0.4799609375,3.4796529483795164,0.3748515625,4.979928365707398
21,0.4700859375,3.54915900349617,0.4279140625,3.799370222002268
