epoch,acc,loss,val_acc,val_loss
0,0.014375000000000001,8.9342496428489682,0.014968749999999999,8.8646472995281211
1,0.01528125,8.8525989642143248,0.024906250000000001,9.3081644165515893
2,0.017468750000000002,8.7743513760566714,0.0037499999999999999,8.8806761589050289
3,0.018937499999999999,8.6735535278320306,0.02328125,8.8560583050251012
4,0.020843750000000001,8.6009691939353949,0.014,9.1124393854141239
5,0.026406249999999999,8.4799771256446839,0.01346875,9.0678685181140892
6,0.027,8.3982564382553093,0.024375000000000001,8.687213409423828
7,0.03078125,8.3212398047447209,0.029406249999999998,8.6820961852073673
8,0.032406249999999998,8.2426503858566278,0.017125000000000001,8.9809760367870339
9,0.036624999999999998,8.1511963868141173,0.05128125,7.7846202355623246
10,0.040812500000000002,8.0436373023986825,0.0273125,8.7328425717353824
11,0.041343749999999999,7.9909438028335575,0.022374999999999999,9.2145276005268091
12,0.045843750000000003,7.9511608700752259,0.048156249999999998,7.7837270554304121
13,0.046249999999999999,7.9398412990570071,0.043624999999999997,7.9973090674877163
14,0.049562500000000002,7.8602893223762509,0.016406250000000001,9.3135267910957342
15,0.056531249999999998,7.726329561710358,0.05059375,7.8528432848453518
16,0.062343750000000003,7.6135392003059383,0.088093749999999998,7.828765823721886
17,0.065531249999999999,7.5430516548156739,0.052249999999999998,7.5935426011085507
18,0.066125000000000003,7.5610767774581911,0.039812500000000001,8.3459599982500077
19,0.074031250000000007,7.4659912786483762,0.024187500000000001,10.077493109703063
20,0.078406249999999997,7.3654665312767031,0.099937499999999999,7.7687272700071333
21,0.080875000000000002,7.3106783356666565,0.090031249999999993,7.7515144261121751
22,0.080750000000000002,7.3587932376861573,0.037968750000000002,8.4084312274456021
23,0.077812500000000007,7.3641463437080379,0.029968749999999999,9.4229357728958139
24,0.091843750000000002,7.1351738848686219,0.021468750000000002,9.471824750900268
25,0.098843749999999994,7.0487865715026858,0.10296875,7.6143410422801967
26,0.10871875,6.9368406786918637,0.094062499999999993,7.138911583304405
27,0.11715625,6.8284514732360844,0.16165625,6.3983505980670454
28,0.12184375,6.8176097364425656,0.10859375,7.5400534801483152
29,0.129,6.7024470548629758,0.14249999999999999,6.5651712996959688
30,0.13353124999999999,6.5847462425231935,0.097843749999999993,6.9230813695788385
31,0.14278125,6.5333100299835207,0.14309374999999999,6.6934989653825756
32,0.11700000000000001,6.8733829035758971,0.064156249999999998,8.9675236023068425
33,0.13012499999999999,6.6685198316574095,0.079625000000000001,7.6287055370807648
34,0.14081250000000001,6.563679358959198,0.0010937500000000001,11.043049232006073
35,0.1501875,6.4467055740356445,0.064718750000000005,9.513866974592208
36,0.15387500000000001,6.4066034259796139,0.12712499999999999,6.6432764188349243
